id,project_code,name,project_type,clients,cpi,other_cost,operation_select,finance_select,upload_document,tentative_start_date,tentative_end_date,estimated_time,status,remark,created_by,assigned_to,created_at,is_active
3177,001glg762,Pain Treatment Landscape (Survey #608167),CATI,GLG,76,,1,0,,2025-01-09 05:30:00,2025-01-17 05:30:00,"8 days, 0:00:00",In Progress,,Saransh Sharma,Dipika Maheshwari,2025-01-10 04:24:07,1
3176,063rep092,Rep Data | College Faculty Feasibility | REP-01252,CATI,Rep Data,40,,1,0,,2025-01-09 05:30:00,2025-01-28 05:30:00,"19 days, 0:00:00",Completed,,Saransh Sharma,Jagdeep Yadav,2025-01-10 04:19:10,1
3175,001glg761,US Hotel Franchisee,CATI,GLG,50,,1,0,,2025-01-09 05:30:00,2025-02-06 05:30:00,"28 days, 0:00:00",In Progress,,Saransh Sharma,Navneet Tiwari,2025-01-10 04:13:39,1
3174,055pym102,CFO Monitor - Phase 12,CATI,Pymnts,56,,1,0,,2025-01-09 05:30:00,2025-01-21 05:30:00,"12 days, 0:00:00",Completed,,Saransh Sharma,Reeti Sharma,2025-01-10 04:13:01,1
3173,001glg760,Counterparty Risk - (Survey #608568),CATI,GLG,49,,1,0,,2025-01-09 05:30:00,2025-01-28 05:30:00,"19 days, 0:00:00",Completed,,Saransh Sharma,Navneet Tiwari,2025-01-10 04:12:25,1
3171,003pot227,Tissue topic - B2B scope,CATI,potloc,42,,1,0,,2025-01-09 05:30:00,2025-01-20 05:30:00,"11 days, 0:00:00",Completed,,Saransh Sharma,Jagdeep Yadav,2025-01-10 04:11:43,1
3170,003pot226,Car dealers in the UK,CATI,potloc,42,,1,0,,2025-01-09 05:30:00,2025-01-30 05:30:00,"21 days, 0:00:00",Completed,,Saransh Sharma,Jagdeep Yadav,2025-01-10 04:11:07,1
3169,001glg759,Urgent Survey Feasibility: Dive Shop / Scuba shop,CATI,GLG,50,,1,0,,2025-01-09 05:30:00,2025-01-28 05:30:00,"19 days, 0:00:00",Completed,,Saransh Sharma,Navneet Tiwari,2025-01-10 04:09:07,1
3168,112pro118,Horse Owners,CATI,proSapient,49,,1,0,,2025-01-09 05:30:00,2025-02-05 05:30:00,"27 days, 0:00:00",On Hold,,Christopher Schaedel,Navneet Tiwari,2025-01-10 02:40:48,1
3167,112pro117,Allergy Specialists,CATI,proSapient,65,,1,0,,2025-01-09 05:30:00,2025-01-31 05:30:00,"22 days, 0:00:00",In Progress,,Christopher Schaedel,Dipika Maheshwari,2025-01-10 02:39:14,1
3166,112pro116,Horses vet clinic,CATI,proSapient,70,,1,0,,2025-01-09 05:30:00,2025-01-24 05:30:00,"15 days, 0:00:00",In Progress,,Christopher Schaedel,Dipika Maheshwari,2025-01-10 02:37:59,1
3165,112pro115,Performance Transformation,CATI,proSapient,51,,1,0,,2025-01-13 05:30:00,2025-02-28 05:30:00,"46 days, 0:00:00",In Progress,,Christopher Schaedel,Navneet Tiwari,2025-01-10 02:34:17,1
3164,112pro114,Association Management Software,CATI,proSapient,45,,1,0,,2025-01-02 05:30:00,2025-02-07 05:30:00,"36 days, 0:00:00",Completed,,Christopher Schaedel,Navneet Tiwari,2025-01-10 02:31:34,1
3163,112pro113,UTV purchasing decision makers,CATI,proSapient,56,,1,0,,2025-01-02 05:30:00,2025-01-21 05:30:00,"19 days, 0:00:00",To Be Started,,Christopher Schaedel,Navneet Tiwari,2025-01-10 02:29:06,1
3162,005cin021,Opinion Leaders/Emerging Leaders Unimarket / Cint,CATI,Cint,46,,1,0,,2025-01-03 05:30:00,2025-01-24 05:30:00,"21 days, 0:00:00",Completed,,Frank Gervasi,Ishika Qaiser,2025-01-10 00:28:21,1
3161,001glg758,AI Maturity,CATI,GLG,51,,1,0,,2024-12-16 05:30:00,2025-01-31 05:30:00,"46 days, 0:00:00",Completed,,Saransh Sharma,Navneet Tiwari,2025-01-09 09:43:42,1
3158,003pot225,Language Learning Survey,CATI,potloc,36,,1,0,,2024-12-16 05:30:00,2025-01-20 05:30:00,"35 days, 0:00:00",Completed,,Saransh Sharma,Jagdeep Yadav,2025-01-09 09:40:56,1
3156,007qua073,Qual1096-1112Project | Unimrkt,CATI,Qualtrics,85,,1,0,,2024-12-16 05:30:00,2025-01-07 05:30:00,"22 days, 0:00:00",Project Initiated,,Saransh Sharma,Dipika Maheshwari,2025-01-09 09:39:36,1
3155,078emi080,China Thread IgAN (Berger's Disease) - IO:64628.2,CATI,EMI,68,,1,0,,2024-12-16 05:30:00,2025-01-07 05:30:00,"22 days, 0:00:00",Project Initiated,,Saransh Sharma,Dipika Maheshwari,2025-01-09 09:38:59,1
